Item_Id,Nome,Preço,Moeda,Categoria,Marca,Quantidade,Link,Detalhes_Imagem,Descrição,Condicao,Estado
MLA1359027207,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,107099.1,ARS,MLA352001,GA03131-US,200,https://www.mercadolibre.com.ar/chromecast-google-ga03131-tv-hd-8gb-2gb-ram-60-fps-wifi-bluetooth-hdmi-4ta-gen-blanco/p/MLA21237756#wid=MLA1359027207&sid=unknown,http://http2.mlstatic.com/D_891351-MLU74085599976_012024-I.jpg,,new,Santa Fe
MLA2021860384,Google Chromecast 4 Generación Con Google Tv Blanco,131370.0,ARS,MLA352001,GA03131-US,1,https://www.mercadolibre.com.ar/google-chromecast-4-generacion-con-google-tv-blanco/p/MLA24460156#wid=MLA2021860384&sid=unknown,http://http2.mlstatic.com/D_706996-MLU78013821034_082024-I.jpg,,new,Córdoba
MLA1473676991,Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro,72999.0,ARS,MLA352001,2410A,1,https://www.mercadolibre.com.ar/smart-tv-onn-uhd-streaming-device-2-gen-4k-color-negro/p/MLA24249930#wid=MLA1473676991&sid=unknown,http://http2.mlstatic.com/D_842944-MLU74245601319_012024-I.jpg,,new,Capital Federal
MLA1974041816,Xiaomi Mi Tv Stick Full Hd 8gb Chromecast Streaming Con Control Color Negro,70000.0,ARS,MLA352001,MDZ-24-AA,100,https://www.mercadolibre.com.ar/xiaomi-mi-tv-stick-full-hd-8gb-chromecast-streaming-con-control-color-negro/p/MLA15984003#wid=MLA1974041816&sid=unknown,http://http2.mlstatic.com/D_988091-MLU69826403059_062023-I.jpg,,new,Buenos Aires
MLA1472422145,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,111999.0,ARS,MLA352001,GA01919-US,1,https://www.mercadolibre.com.ar/google-chromecast-4k-chromecast-with-google-tv-ga01919-us-de-voz-4-generacion-4k-8gb-sky-con-2gb-de-memoria-ram/p/MLA16233187#wid=MLA1472422145&sid=unknown,http://http2.mlstatic.com/D_698723-MLU70045085640_062023-I.jpg,,new,Capital Federal
MLA1970572124,Chromecast Ga01919-us Google 4 Generación 4k 8gb Con 2gb De Memoria Ram,114999.0,ARS,MLA352001,GA01919-US,50,https://www.mercadolibre.com.ar/chromecast-ga01919-us-google-4-generacion-4k-8gb-con-2gb-de-memoria-ram/p/MLA21774715#wid=MLA1970572124&sid=unknown,http://http2.mlstatic.com/D_820731-MEC49046529482_022022-I.jpg,,new,Capital Federal
MLA1433713863,Onn Google Tv Fhd Streaming Stick 2da Generación 8gb 1.5gb Ram Color Negro Control Remoto De Voz,64999.0,ARS,MLA352001,36233631,1,https://www.mercadolibre.com.ar/onn-google-tv-fhd-streaming-stick-2da-generacion-8gb-15gb-ram-color-negro-control-remoto-de-voz/p/MLA29268937#wid=MLA1433713863&sid=unknown,http://http2.mlstatic.com/D_955514-MLU73509882514_122023-I.jpg,,new,Santa Fe
MLA1976418540,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,112999.0,ARS,MLA352001,GA01919-US,100,https://www.mercadolibre.com.ar/chromecast-with-google-tv-de-voz-4-generacion-4k-8gb-snow-con-2gb-de-memoria-ram/p/MLA16233185#wid=MLA1976418540&sid=unknown,http://http2.mlstatic.com/D_635602-MLA74782529607_022024-I.jpg,,new,Capital Federal
MLA1929846314,Mi Tv Stick Xiaomi 4k Mdz-27-eu 2.ª Generación Color Negro,92303.2,ARS,MLA352001,MDZ-27-EU,1,https://www.mercadolibre.com.ar/mi-tv-stick-xiaomi-4k-mdz-27-eu-2-generacion-color-negro/p/MLA38431087#wid=MLA1929846314&sid=unknown,http://http2.mlstatic.com/D_896407-MLU77791584611_072024-I.jpg,,new,Capital Federal
MLA1475129595,Chromecast tv Gen 4 - 4k Hdr. Wifi+bth+c. Remoto,135900.0,ARS,MLA352001,GA01919-ES,1,https://www.mercadolibre.com.ar/chromecasttv-gen-4-4k-hdr-wifibthc-remoto/p/MLA22031298#wid=MLA1475129595&sid=unknown,http://http2.mlstatic.com/D_899917-MLU53781625918_022023-I.jpg,,new,Capital Federal
